Semana,Día,Pilar,Formato,Tema
1,Lunes,Educación / Dolor,Reel / Video Corto,¿Tienes más de 50 (mujeres) u 55 (hombres) y sigues pagando pensión obligatoria?
1,Miércoles,Mitos,Carrusel,"Mito: Si dejo de cotizar pensión, pierdo todas las semanas acumuladas."
1,Viernes,Caso de Éxito,Imagen / Testimonio,Aportes optimizados: Clientes que ya pagan solo EPS.
2,Lunes,Educación / Dolor,Reel / Video Corto,¿Por qué los operadores de PILA rechazan el cambio sin asesoría experta?
2,Miércoles,Venta Suave,Post Educativo,El paso a paso de cómo te ayudamos en Grupo HC.
2,Viernes,Mitos,Video Corto,¿Qué pasa con mi servicio de EPS si dejo de cotizar pensión?
3,Lunes,Educación / Dolor,Reel / Video Corto,Cuánto dinero real se ahorra un independiente al año dejando la pensión.
3,Miércoles,Caso de Éxito,Captura WhatsApp,Lectura de mensajes felices de clientes asesorados.
3,Viernes,Venta Directa,Post con CTA,Convocatoria abierta para revisión de casos esta semana al WhatsApp.
4,Lunes,Mitos,Carrusel FAQ,Las 3 preguntas clave antes de pasar a pagar solo EPS.
4,Miércoles,Educación / Legal,Video Explicativo,Lo que dice la norma en Colombia sobre la liberación de aportes.
4,Viernes,Venta Directa,Reel de Cierre,Cierre de mes: No pagues de más. Escríbenos a WhatsApp.
